Nimi;Lukumäärä
Juha;44438
Timo;43936
Matti;41234
Kari;39267
Mikko;38173
Jari;37611
Antti;37237
Jukka;33551
Mika;33467
Markku;32232
Pekka;31281
Tuula;30537
Anne;30317
Päivi;29918
Hannu;29238
Anna;28974
Ritva;28231
Heikki;28192
Leena;28147
Pirjo;27886
Sari;27661
Minna;27658
Janne;27570
Ari;26650
Seppo;26640
Marja;26335
Sami;26280
Tiina;25848
Ville;25786
Riitta;25147
Marko;25063
Tarja;24614
Petri;24023
Laura;23353
Lauri;22770
Jani;22742
Pirkko;22384
Seija;21399
Aino;21395
Jaana;21391
Satu;21385
Heidi;21284
Sirpa;21226
Hanna;21175
Sanna;21017
Raija;20789
Liisa;20785
Eeva;20642
Teemu;20253
Maria;20194
Erkki;20156
Eija;20066
Harri;19674
Merja;19563
Anja;19553
Jorma;19480
Johanna;19463
Kirsi;19342
Pentti;19226
Arja;18550
Eila;18442
Jarmo;18214
Eero;18120
Jaakko;18012
Jussi;17938
Pasi;17888
Maija;17693
Risto;17548
Paula;17535
Juho;17171
Raimo;17071
Ulla;17025
Niko;16927
Jenni;16823
Toni;16717
Esa;16636
Jouni;16488
Elina;16281
Arto;15959
Markus;15798
Katja;15750
Pertti;15698
Aleksi;15621
Tomi;15472
Tuomas;15406
Sirkka;15371
Martti;15255
Vesa;15123
Mari;15108
Reijo;15082
Olli;15011
Nina;14914
Heli;14910
Anni;14814
Emma;14761
Kimmo;14618
Joni;14520
Jouko;14478
Veikko;14465
Tommi;14332
Tero;13834
Esko;13472
Terttu;13230
Joonas;13215
Raili;13212
Mirja;13052
Eetu;12925
Kirsti;12812
Henri;12715
Anu;12537
Helena;12481
Leo;12468
Hilkka;12449
Emilia;12254
Tuija;12241
Sara;12018
Kaija;11750
Ella;11654
Niina;11653
Sofia;11631
Kalle;11289
Elias;11281
Jarkko;11266
Suvi;11252
Kaisa;11094
Ilkka;11093
Jesse;11089
Pia;11048
Tanja;10920
Joona;10846
Jenna;10738
Saara;10649
Eino;10636
Paavo;10418
Kati;10396
Maarit;10367
Henna;10356
Veera;10324
Tuomo;10297
Mikael;10276
Aila;10267
Marjo;10254
Pauli;10172
Leila;10129
Noora;10109
Katri;10097
Irma;10091
Jere;9982
Onni;9952
Julia;9904
Matias;9783
Susanna;9765
Iida;9688
Juuso;9663
Riikka;9645
Lea;9613
Tapio;9532
Outi;9196
Marja-Leena;9156
Venla;9137
Mervi;9085
Leevi;9081
Milla;8998
Helmi;8995
Veli;8973
Arttu;8964
Taina;8945
Jonna;8830
Sinikka;8706
Virpi;8685
Emmi;8659
Kerttu;8637
Simo;8618
Jyrki;8614
Joel;8464
Irja;8457
Miia;8457
Keijo;8406
Lasse;8361
Sonja;8205
Niklas;8094
Väinö;8062
Tiia;8056
Marja-Liisa;7999
Aki;7988
Riku;7894
Daniel;7821
Otto;7818
Juhani;7814
Kai;7795
Lotta;7793
Marika;7724
Siiri;7712
Elli;7626
Toivo;7574
Veeti;7500
Miika;7482
Terhi;7422
Elsa;7410
Vilma;7406
Mauri;7395
Sini;7356
Niilo;7303
Jarno;7298
Sanni;7290
Annika;7191
Valtteri;7164
Oona;7144
Ida;7098
Mira;7072
Aada;7048
Jan;7028
Teija;6988
Mia;6903
Rasmus;6892
Oliver;6849
Sisko;6775
Essi;6536
Nea;6508
Kauko;6458
Rauno;6458
Viivi;6457
Reino;6437
Anita;6380
